hour_of_day,day_of_week,month,event_type,venue_capacity,estimated_crowd,area_m2,entry_points,emergency_exits,security_personnel,ambient_temp_c,occupancy_ratio,density_per_m2,crowd_density_level,stampede_risk
21,2,6,3,76944,43585,109778,15,17,491,19.5,0.5665,0.397,1,0.4865
2,5,1,0,44064,42616,84092,11,2,465,14.8,0.9671,0.5068,3,0.5343
7,4,12,0,67888,36311,129052,9,3,267,28.9,0.5349,0.2814,1,0.5031
21,5,4,2,97025,83218,145258,3,25,388,25.5,0.8577,0.5729,2,0.6242
8,1,2,3,35357,34052,36905,9,26,376,12.0,0.9631,0.9227,3,0.6022
13,5,8,1,86266,39046,110046,1,5,317,8.3,0.4526,0.3548,0,0.7488
23,1,11,2,25525,20817,17309,17,4,174,17.0,0.8156,1.2027,2,0.7238
16,0,2,2,27396,12755,38824,14,6,306,37.2,0.4656,0.3285,0,0.5534
10,2,2,0,64934,28259,117377,2,24,311,11.6,0.4352,0.2408,0,0.4181
0,0,1,2,27940,6068,47390,18,13,9,14.6,0.2172,0.128,0,0.5181
22,4,10,2,52180,29585,33123,11,13,62,19.1,0.567,0.8932,1,0.66
1,2,3,0,86890,10087,158705,13,13,480,37.2,0.1161,0.0636,0,0.2416
21,5,4,1,31259,14975,36589,1,15,251,11.1,0.4791,0.4093,0,0.6978
16,3,9,0,81248,24996,88083,10,17,397,16.2,0.3077,0.2838,0,0.3699
19,3,7,1,49591,22313,67775,8,26,144,21.5,0.4499,0.3292,0,0.5424
13,6,8,1,77376,24782,90998,13,18,462,35.4,0.3203,0.2723,0,0.4248
2,4,7,4,47327,23399,41977,3,15,32,26.3,0.4944,0.5574,0,0.7354
12,6,6,1,2769,1445,2863,12,5,381,37.6,0.5218,0.5047,1,0.5653
3,6,9,3,46655,37488,46681,8,28,164,24.2,0.8035,0.8031,2,0.6075
1,2,6,4,67424,48987,39131,13,21,174,7.0,0.7266,1.2519,1,0.5962
15,0,12,0,13813,6006,19222,10,21,395,37.1,0.4348,0.3125,0,0.2957
22,0,11,0,96974,28279,127388,18,9,400,12.6,0.2916,0.222,0,0.3354
2,3,12,0,44536,6513,97536,8,12,260,35.1,0.1462,0.0668,0,0.3817
2,6,3,1,52627,20022,88285,11,3,280,12.1,0.3805,0.2268,0,0.6366
22,5,7,1,83592,27688,125955,11,5,401,5.5,0.3312,0.2198,0,0.5799
18,3,1,2,37464,23096,25140,7,13,314,34.9,0.6165,0.9187,1,0.6425
7,6,4,0,32239,18045,71218,6,9,118,28.4,0.5597,0.2534,1,0.5456
3,5,1,1,57697,50728,66572,4,17,75,19.8,0.8792,0.762,2,0.7771
3,6,4,1,71564,43002,148962,14,28,75,15.8,0.6009,0.2887,1,0.505
22,5,7,4,51893,13128,108883,14,13,129,27.5,0.253,0.1206,0,0.4738
21,6,8,0,29782,20879,46988,6,2,399,29.2,0.7011,0.4443,1,0.6052
23,6,3,0,98554,47188,109425,16,18,128,9.1,0.4788,0.4312,0,0.346
2,0,11,3,18396,11658,30859,12,22,128,33.6,0.6337,0.3778,1,0.5654
8,4,10,0,25071,17519,58812,5,10,477,6.8,0.6988,0.2979,1,0.4776
21,1,3,0,87883,40561,85781,13,15,102,38.2,0.4615,0.4728,0,0.4542
18,6,5,0,94375,38823,160709,18,2,238,27.1,0.4114,0.2416,0,0.4176
8,1,6,0,10382,3348,6137,19,26,264,23.7,0.3225,0.5455,0,0.1892
2,2,10,1,13289,9663,17989,5,5,463,9.7,0.7271,0.5372,1,0.7414
6,5,9,0,40766,21342,88373,8,7,244,25.3,0.5235,0.2415,1,0.5237
2,3,8,1,82308,6460,60294,17,17,270,29.5,0.0785,0.1071,0,0.4219
3,0,5,0,98545,31903,120104,8,17,209,27.4,0.3237,0.2656,0,0.3757
2,0,3,2,15080,5680,10837,15,28,367,34.0,0.3767,0.5241,0,0.4105
22,2,9,0,2043,1529,2064,19,4,105,35.1,0.7484,0.7408,1,0.5101
2,5,10,0,98079,5383,145137,4,29,27,21.2,0.0549,0.0371,0,0.3175
22,3,5,4,52224,13087,116385,6,13,154,6.9,0.2506,0.1124,0,0.5967
14,2,4,0,80423,38165,190876,10,26,140,20.6,0.4746,0.1999,0,0.3916
10,4,11,4,46565,18432,73480,1,9,149,32.3,0.3958,0.2508,0,0.7221
14,2,2,1,45390,34111,63839,12,5,232,12.4,0.7515,0.5343,2,0.6353
22,1,1,2,94758,17319,218381,10,5,23,14.6,0.1828,0.0793,0,0.6077
4,1,11,1,54266,19146,125099,18,28,156,25.1,0.3528,0.153,0,0.441
4,0,5,0,37652,21678,79788,12,20,167,12.7,0.5757,0.2717,1,0.4182
5,5,11,2,20371,9799,38179,16,26,380,17.2,0.481,0.2567,0,0.4249
10,5,4,4,17139,10721,16065,5,26,369,12.8,0.6255,0.6674,1,0.5778
10,3,12,0,61172,10886,79124,12,12,444,26.6,0.178,0.1376,0,0.3282
14,1,7,0,64199,58027,98405,16,9,340,6.9,0.9039,0.5897,3,0.4678
0,4,6,0,72238,47992,150926,5,28,73,7.9,0.6644,0.318,1,0.5187
15,3,1,2,56425,31681,119369,4,18,98,6.1,0.5615,0.2654,1,0.6122
22,1,5,1,47721,34304,70451,7,23,96,31.6,0.7188,0.4869,1,0.6703
12,1,9,1,86987,60888,170947,2,7,269,38.7,0.7,0.3562,1,0.7695
4,5,8,0,20666,2270,20379,19,8,356,16.9,0.1098,0.1114,0,0.1885
1,5,2,4,84914,50171,145673,14,4,339,5.6,0.5908,0.3444,1,0.664
13,4,3,0,76509,50626,86287,4,8,366,34.5,0.6617,0.5867,1,0.5658
1,0,5,1,63342,36668,71363,19,7,480,17.8,0.5789,0.5138,1,0.5349
22,5,2,1,55577,6318,56667,8,16,409,39.7,0.1137,0.1115,0,0.5134
3,4,11,0,66082,52115,133638,15,19,126,14.4,0.7886,0.39,2,0.4489
0,4,7,0,53461,44229,70748,8,3,441,21.8,0.8273,0.6252,2,0.5666
21,5,7,0,49757,31324,58614,17,18,429,25.6,0.6295,0.5344,1,0.3028
20,6,11,0,48934,21507,55923,12,9,213,40.0,0.4395,0.3846,0,0.4793
10,6,12,1,6174,4574,13256,3,4,476,16.2,0.7408,0.3451,1,0.6958
1,2,7,1,48928,30339,33236,4,27,434,6.7,0.6201,0.9128,1,0.5179
6,3,4,0,82053,66554,55873,3,12,185,9.8,0.8111,1.1912,2,0.6572
2,0,11,1,31001,10404,50743,12,9,436,20.7,0.3356,0.205,0,0.5003
22,0,8,2,63137,37021,135461,4,22,186,8.3,0.5864,0.2733,1,0.6473
23,2,9,0,60008,50238,50595,8,5,185,22.3,0.8372,0.9929,2,0.6416
22,6,4,2,64777,46504,153691,6,11,23,27.5,0.7179,0.3026,1,0.7285
17,4,10,1,19727,17196,11182,5,6,439,16.3,0.8717,1.5378,2,0.711
12,4,8,2,68757,47507,43668,13,21,283,39.8,0.6909,1.0879,1,0.5404
15,4,1,2,59782,44506,88587,2,15,453,8.4,0.7445,0.5024,1,0.6797
17,1,2,1,51020,39284,90728,14,28,229,19.8,0.77,0.433,2,0.5319
8,3,2,0,56935,7967,137922,10,6,453,30.6,0.1399,0.0578,0,0.2625
0,0,2,0,14351,3813,22278,1,21,43,18.8,0.2657,0.1712,0,0.4496
18,6,3,4,24452,11256,26933,3,4,291,5.7,0.4603,0.4179,0,0.6929
0,3,3,0,21849,6483,47564,8,13,246,38.1,0.2967,0.1363,0,0.4667
17,6,4,1,47593,15707,45862,18,21,357,38.1,0.33,0.3425,0,0.3824
14,1,9,4,66188,22369,48802,13,22,391,35.9,0.338,0.4584,0,0.4478
21,1,9,3,98158,48397,219175,17,13,26,11.7,0.4931,0.2208,0,0.5808
8,5,9,2,54908,16784,118765,16,16,304,25.8,0.3057,0.1413,0,0.4446
4,5,4,1,7302,2338,6942,8,24,316,38.7,0.3202,0.3368,0,0.4202
3,0,11,1,79584,68950,171555,5,8,174,19.4,0.8664,0.4019,2,0.8585
20,5,3,3,52294,22476,29859,7,19,317,39.2,0.4298,0.7527,0,0.5036
3,6,8,3,39745,15031,93867,3,4,113,14.1,0.3782,0.1601,0,0.7276
14,2,12,2,1029,365,591,3,15,179,13.7,0.3547,0.6176,0,0.6123
19,2,8,2,4497,1043,5118,6,24,311,9.9,0.2319,0.2038,0,0.455
6,3,2,1,40309,27771,27567,3,13,237,28.5,0.689,1.0074,1,0.6943
4,3,3,0,89343,59914,188873,2,9,429,34.6,0.6706,0.3172,1,0.5386
11,4,7,1,70591,61636,132625,17,21,47,10.5,0.8731,0.4647,2,0.6232
3,2,9,4,37316,8156,87564,8,20,286,8.1,0.2186,0.0931,0,0.4298
7,3,10,3,34787,27549,69083,17,4,193,12.7,0.7919,0.3988,2,0.6534
10,1,6,3,80608,41712,80895,19,23,370,37.6,0.5175,0.5156,1,0.3917
1,6,10,3,96815,52302,223243,16,3,147,18.0,0.5402,0.2343,1,0.654
22,3,3,1,82597,33023,160072,16,29,169,21.4,0.3998,0.2063,0,0.3781
22,5,7,3,60535,32494,42254,18,13,114,30.9,0.5368,0.769,1,0.535
2,1,7,4,39714,10191,97555,11,24,490,21.1,0.2566,0.1045,0,0.3717
4,4,10,0,58017,26474,144299,4,20,8,9.4,0.4563,0.1835,0,0.5259
0,1,5,1,30080,955,29606,3,12,53,28.8,0.0317,0.0323,0,0.5207
8,6,4,4,30031,16922,55715,5,6,181,38.4,0.5635,0.3037,1,0.7601
6,1,6,1,45595,25814,91580,16,13,475,38.8,0.5662,0.2819,1,0.48
10,6,4,0,21813,11829,29177,16,29,447,26.8,0.5423,0.4054,1,0.2262
21,3,4,0,79368,54479,186057,4,5,347,23.8,0.6864,0.2928,1,0.568
8,1,5,3,58432,38062,45386,3,11,267,21.0,0.6514,0.8386,1,0.7557
16,4,3,0,5167,885,3859,6,10,104,10.9,0.1713,0.2293,0,0.4901
19,3,8,0,71929,34433,57760,2,29,34,6.0,0.4787,0.5961,0,0.4612
16,1,3,0,48562,9377,51980,2,8,100,10.1,0.1931,0.1804,0,0.5021
23,5,12,2,83924,62189,149475,5,3,488,18.5,0.741,0.416,1,0.6741
14,1,8,0,51070,32943,126767,10,26,263,24.3,0.6451,0.2599,1,0.3828
6,1,12,1,27614,15942,39323,6,16,253,13.9,0.5773,0.4054,1,0.5986
3,2,12,0,72881,49196,148944,3,26,147,36.1,0.675,0.3303,1,0.5157
11,6,2,1,38082,26782,70861,1,15,477,15.3,0.7033,0.378,1,0.6669
16,5,6,1,87485,7683,122032,10,7,167,30.9,0.0878,0.063,0,0.5143
8,3,6,3,89985,31405,93627,1,9,307,6.4,0.349,0.3354,0,0.6601
4,3,8,0,47707,16150,42102,18,12,240,15.6,0.3385,0.3836,0,0.3447
23,1,9,0,47159,9155,110645,17,25,134,39.2,0.1941,0.0827,0,0.2119
14,3,5,1,70170,39206,99343,11,12,405,21.7,0.5587,0.3947,1,0.5112
21,6,4,0,13642,6591,26318,1,29,459,15.4,0.4831,0.2504,0,0.3501
8,1,9,1,2984,1459,7344,16,20,406,31.3,0.4889,0.1987,0,0.4477
0,6,10,4,12739,1841,17544,10,17,7,25.6,0.1445,0.1049,0,0.5685
12,5,10,1,57964,40755,74029,4,22,272,31.0,0.7031,0.5505,1,0.6525
1,1,2,1,16828,10364,14830,19,17,385,25.5,0.6159,0.6989,1,0.4528
11,2,8,4,34040,24008,40881,19,15,15,30.7,0.7053,0.5873,1,0.5668
3,4,2,1,21465,8319,43197,5,27,428,7.5,0.3876,0.1926,0,0.4839
23,3,3,1,43489,11872,99717,18,8,121,6.2,0.273,0.1191,0,0.4789
9,2,9,1,7273,4794,4333,14,27,228,16.4,0.6592,1.1064,1,0.4506
9,5,1,1,3616,1122,2365,19,24,49,9.3,0.3103,0.4744,0,0.4691
18,5,5,3,21859,5998,13611,17,18,388,12.1,0.2744,0.4407,0,0.3903
4,6,10,0,97401,19636,107217,16,25,427,20.8,0.2016,0.1831,0,0.1754
6,3,3,1,42765,13983,70397,15,13,220,20.8,0.327,0.1986,0,0.5001
20,6,11,4,98427,29376,89109,15,4,323,13.6,0.2985,0.3297,0,0.5145
14,0,6,0,65545,45245,90603,11,28,466,6.6,0.6903,0.4994,1,0.2751
22,6,5,2,45243,29299,108904,19,22,167,6.0,0.6476,0.269,1,0.5295
0,1,9,3,2241,531,2131,2,12,251,7.2,0.2369,0.2492,0,0.6226
14,4,10,4,90164,72921,113806,13,3,449,24.7,0.8088,0.6407,2,0.683
6,3,10,0,6551,4052,9353,7,26,382,22.4,0.6185,0.4332,1,0.3478
12,4,3,0,15942,6446,8127,19,20,51,12.0,0.4043,0.7932,0,0.2886
12,6,1,1,5758,2204,8605,19,23,299,29.7,0.3828,0.2561,0,0.4233
11,4,6,2,81952,32570,171855,4,3,205,31.8,0.3974,0.1895,0,0.7038
19,6,5,1,38620,9257,88725,13,7,355,25.5,0.2397,0.1043,0,0.4456
11,3,9,1,12426,8596,30980,14,4,374,6.9,0.6918,0.2775,1,0.5921
9,6,11,1,73463,22498,130392,13,17,367,29.7,0.3062,0.1725,0,0.5022
22,3,8,1,2267,1827,5283,19,9,54,10.7,0.8059,0.3458,2,0.6764
1,0,7,0,6087,3314,11869,10,3,84,30.2,0.5444,0.2792,1,0.6202
2,2,5,1,85845,14402,95640,12,9,178,31.1,0.1678,0.1506,0,0.5887
15,3,8,4,36135,28899,52554,8,11,471,17.0,0.7998,0.5499,2,0.6125
21,4,10,0,24273,11654,35331,19,22,141,12.4,0.4801,0.3299,0,0.3673
20,6,3,0,37769,8224,20861,17,3,115,27.2,0.2177,0.3942,0,0.4173
17,5,4,0,63810,5435,145985,7,12,184,28.2,0.0852,0.0372,0,0.4201
20,6,1,2,19556,10208,41342,5,13,321,18.2,0.522,0.2469,1,0.6282
17,6,6,0,90469,62905,186900,6,17,154,27.8,0.6953,0.3366,1,0.5309
21,4,8,2,83808,83154,167387,4,3,404,15.9,0.9922,0.4968,3,0.7962
14,2,6,2,97010,16279,49184,3,27,453,37.6,0.1678,0.331,0,0.4115
4,1,11,3,73868,18085,160415,6,15,488,16.8,0.2448,0.1127,0,0.5075
4,1,7,4,99399,76390,206846,2,13,393,27.0,0.7685,0.3693,2,0.6864
18,2,7,0,56524,7123,131800,17,21,158,10.4,0.126,0.054,0,0.2008
21,1,10,2,45679,11160,69594,17,20,82,29.6,0.2443,0.1604,0,0.4044
13,4,6,1,16778,8026,18555,17,16,447,15.6,0.4784,0.4326,0,0.4113
23,5,1,0,29270,12026,59282,4,4,70,7.4,0.4109,0.2029,0,0.6244
15,3,6,0,22909,11501,50321,2,2,269,32.7,0.502,0.2286,1,0.5944
9,0,1,1,61026,27657,148982,10,2,392,31.4,0.4532,0.1856,0,0.5684
17,4,2,0,6208,3475,13372,13,29,486,19.5,0.5598,0.2599,1,0.2187
18,5,12,2,80464,67812,86958,7,15,463,37.6,0.8428,0.7798,2,0.6376
23,0,6,0,56149,5372,103730,17,26,24,18.2,0.0957,0.0518,0,0.1835
10,3,5,1,33045,21957,40161,5,12,199,13.0,0.6645,0.5467,1,0.7055
21,0,7,0,26249,21669,63243,11,21,98,16.1,0.8255,0.3426,2,0.5472
7,6,10,3,40110,11230,28580,10,26,231,15.3,0.28,0.3929,0,0.4399
14,5,9,3,47415,14066,99500,6,27,45,34.8,0.2967,0.1414,0,0.5186
9,5,4,1,86478,35346,153809,6,18,270,35.0,0.4087,0.2298,0,0.5638
12,4,7,2,64833,25501,146745,4,7,312,31.6,0.3933,0.1738,0,0.5964
16,3,1,1,46237,28063,29093,11,14,205,26.3,0.6069,0.9646,1,0.6746
16,2,3,1,69553,52603,146661,9,3,304,30.6,0.7563,0.3587,2,0.7287
1,6,12,4,87751,24864,116704,16,12,272,38.8,0.2833,0.2131,0,0.5094
9,0,12,0,62398,27861,128820,15,19,203,22.9,0.4465,0.2163,0,0.3052
20,4,6,1,86921,36009,50478,7,28,68,5.3,0.4143,0.7134,0,0.5276
16,4,10,0,12163,9260,30304,13,3,423,19.1,0.7613,0.3056,2,0.5093
17,3,1,1,87278,84968,46845,10,4,367,20.1,0.9735,1.8138,3,0.7255
0,5,4,3,66425,41429,108494,10,17,304,35.3,0.6237,0.3819,1,0.6387
13,2,1,0,49703,34661,41116,15,5,452,13.2,0.6974,0.843,1,0.4335
10,2,12,2,91937,60269,215610,19,19,24,26.2,0.6555,0.2795,1,0.533
4,4,5,1,92226,7083,222664,12,3,227,14.4,0.0768,0.0318,0,0.5025
11,1,2,3,38043,12607,81191,5,26,466,25.0,0.3314,0.1553,0,0.4226
5,0,5,0,10207,4950,21900,16,12,300,29.7,0.485,0.226,0,0.3805
12,0,4,3,11530,2627,13321,8,16,109,25.6,0.2278,0.1972,0,0.5354
6,5,10,2,1327,668,2984,8,16,490,11.0,0.5034,0.2239,1,0.5689
23,2,1,0,9415,3343,16476,18,27,218,21.7,0.3551,0.2029,0,0.1911
23,5,5,1,89854,51436,114218,15,24,415,29.9,0.5724,0.4503,1,0.4576
15,3,8,0,38550,30444,54364,18,6,37,28.8,0.7897,0.56,2,0.5096
10,4,11,1,1862,855,1579,19,29,422,15.4,0.4592,0.5415,0,0.2974
23,2,10,4,87054,17762,71588,4,7,401,39.7,0.204,0.2481,0,0.5413
7,4,8,4,74369,63175,111828,2,14,225,34.1,0.8495,0.5649,2,0.7642
9,0,12,0,22322,14170,41823,3,3,219,25.0,0.6348,0.3388,1,0.6591
19,3,1,1,10700,8606,13959,15,4,383,37.5,0.8043,0.6165,2,0.596
11,1,2,2,59550,41450,128534,18,25,214,29.3,0.6961,0.3225,1,0.512
9,4,5,2,96377,68283,110815,8,13,87,17.7,0.7085,0.6162,1,0.7608
21,3,1,0,12551,4232,29071,3,12,122,36.2,0.3372,0.1456,0,0.4915
3,2,12,3,33344,14795,40895,10,14,380,18.0,0.4437,0.3618,0,0.5323
2,3,9,0,59151,39445,124592,11,6,37,5.0,0.6669,0.3166,1,0.6314
11,2,5,1,55978,28267,43871,3,11,235,26.1,0.505,0.6443,1,0.648
23,4,12,1,79853,48187,150646,10,22,3,29.2,0.6034,0.3199,1,0.6311
8,0,6,1,4978,634,9901,13,23,277,23.6,0.1274,0.064,0,0.3863
21,4,5,1,77262,11435,110202,17,10,100,34.0,0.148,0.1038,0,0.4911
8,6,1,3,18072,3976,42885,6,3,380,38.4,0.22,0.0927,0,0.5554
6,1,9,1,52173,41202,51171,9,25,314,25.8,0.7897,0.8052,2,0.5508
8,1,8,0,78214,31004,119653,7,11,21,39.2,0.3964,0.2591,0,0.579
13,6,10,0,75686,14305,185426,19,25,426,9.2,0.189,0.0771,0,0.1464
16,1,5,0,79677,73127,135971,6,17,149,28.2,0.9178,0.5378,3,0.611
17,2,2,0,59704,36517,49873,8,15,130,31.4,0.6116,0.7322,1,0.5276
2,1,9,0,53789,31715,103526,9,12,64,39.4,0.5896,0.3063,1,0.5769
16,3,9,1,81271,44137,159660,8,13,50,38.7,0.5431,0.2764,1,0.6718
20,6,8,1,17047,15963,16152,18,11,258,17.7,0.9364,0.9883,3,0.6024
14,3,11,2,44948,23785,80299,18,16,285,25.9,0.5292,0.2962,1,0.4442
16,5,8,0,88426,27239,73392,11,16,483,35.5,0.308,0.3711,0,0.2762
9,0,9,4,13030,8313,23644,8,5,38,30.1,0.638,0.3516,1,0.7776
23,2,5,4,79220,59257,155532,14,29,112,12.4,0.748,0.381,1,0.5638
21,1,10,1,55934,17519,69504,2,7,261,31.9,0.3132,0.2521,0,0.652
0,6,4,0,170,105,236,12,26,401,14.7,0.6176,0.4449,1,0.3723
18,3,11,0,43833,14527,107967,3,17,248,6.9,0.3314,0.1346,0,0.4088
5,4,2,0,18255,2891,9776,13,19,368,21.5,0.1584,0.2957,0,0.2747
2,2,12,0,88799,48425,73521,11,23,91,10.2,0.5453,0.6587,1,0.3986
21,2,6,1,12252,6166,13204,16,5,8,9.5,0.5033,0.467,1,0.6571
19,3,11,2,73342,27528,149540,10,18,215,7.8,0.3753,0.1841,0,0.5552
11,1,11,3,36720,15403,70303,15,11,86,7.8,0.4195,0.2191,0,0.5709
22,2,10,1,32018,22668,61154,7,20,238,13.6,0.708,0.3707,1,0.661
23,0,8,0,32729,19489,46627,7,12,59,31.2,0.5955,0.418,1,0.5739
21,1,5,4,68996,31066,143390,9,13,400,14.1,0.4503,0.2167,0,0.5489
6,4,12,0,43434,11907,85702,12,11,186,11.4,0.2741,0.1389,0,0.4171
14,6,11,3,12495,1944,17447,3,12,42,7.9,0.1556,0.1114,0,0.5583
18,6,11,0,34253,16807,29246,8,13,23,12.6,0.4907,0.5747,0,0.4453
23,2,5,1,71347,51469,77436,8,19,223,10.5,0.7214,0.6647,1,0.6078
14,2,2,0,70269,42418,135572,18,14,272,36.9,0.6037,0.3129,1,0.4049
17,4,3,3,73516,37032,150663,8,4,21,5.5,0.5037,0.2458,1,0.7459
19,6,2,3,81169,13630,141825,7,21,401,30.1,0.1679,0.0961,0,0.4736
19,1,2,1,2705,1131,3709,15,14,181,30.0,0.4181,0.3049,0,0.4695
7,5,7,0,26493,14562,51037,11,12,44,12.4,0.5497,0.2853,1,0.4818
20,1,3,1,31830,21938,28590,11,20,386,20.2,0.6892,0.7673,1,0.5466
6,4,9,0,18353,3650,33217,7,7,472,5.8,0.1989,0.1099,0,0.4219
17,0,4,4,99138,74163,58668,2,24,259,7.4,0.7481,1.2641,1,0.6088
13,1,4,2,89883,82513,182050,2,3,7,11.2,0.918,0.4532,3,0.9333
9,6,1,2,41759,8917,71358,11,10,492,12.4,0.2135,0.125,0,0.3932
21,0,6,0,9211,2152,6762,6,23,457,14.5,0.2336,0.3182,0,0.2876
0,0,10,0,71829,5222,151280,11,15,249,23.9,0.0727,0.0345,0,0.3163
19,4,8,0,26694,21749,61324,18,24,453,37.5,0.8148,0.3547,2,0.3164
1,5,8,4,16831,4354,14554,19,24,332,32.9,0.2587,0.2992,0,0.3088
21,6,12,0,52106,25980,109831,7,20,394,20.3,0.4986,0.2365,0,0.3808
3,3,8,2,89573,33463,73732,19,16,62,39.8,0.3736,0.4538,0,0.4639
6,6,8,1,53605,12087,70176,3,16,448,29.7,0.2255,0.1722,0,0.4534
7,1,11,0,75499,20115,115395,5,27,91,39.3,0.2664,0.1743,0,0.3406
15,1,9,1,80233,71131,166612,3,16,264,26.9,0.8866,0.4269,2,0.7578
16,0,6,0,13908,9495,8154,8,10,274,23.1,0.6827,1.1645,1,0.5021
17,6,3,0,8998,5525,5886,5,7,439,35.3,0.614,0.9387,1,0.5011
1,3,6,0,60168,16179,146919,15,3,488,29.3,0.2689,0.1101,0,0.3097
20,4,9,0,33391,21765,74972,10,21,374,23.5,0.6518,0.2903,1,0.3744
10,3,7,3,42067,13388,76085,7,3,12,28.8,0.3183,0.176,0,0.6191
23,0,4,1,33933,16499,54206,1,29,233,25.9,0.4862,0.3044,0,0.5965
23,3,4,1,4369,3098,3195,13,26,215,36.1,0.7091,0.9696,1,0.4818
0,2,10,2,75915,37759,164105,15,19,467,26.5,0.4974,0.2301,0,0.4484
23,4,12,1,96037,52518,221966,10,29,92,7.8,0.5469,0.2366,1,0.5267
23,6,11,2,11249,4121,16181,1,5,169,25.7,0.3663,0.2547,0,0.7142
20,4,12,0,91683,43868,183843,12,19,494,12.0,0.4785,0.2386,0,0.2331
20,3,3,2,17583,7411,30491,19,18,146,39.7,0.4215,0.2431,0,0.4808
2,3,4,1,61338,27882,54026,10,19,267,18.5,0.4546,0.5161,0,0.5403
1,1,9,0,79333,73452,94170,19,25,229,14.0,0.9259,0.78,3,0.4344
0,2,5,4,24915,16983,13748,10,2,185,31.5,0.6816,1.2353,1,0.7732
14,6,1,1,4400,3037,9332,14,23,187,13.1,0.6902,0.3254,1,0.5403
11,0,9,3,10970,9250,17131,10,22,230,13.8,0.8432,0.54,2,0.6143
6,6,7,4,88438,47379,210210,12,2,325,10.1,0.5357,0.2254,1,0.6075
17,2,9,1,90853,54810,170550,2,26,125,6.2,0.6033,0.3214,1,0.644
14,1,7,1,46419,37090,111289,17,17,156,6.5,0.799,0.3333,2,0.6697
7,3,9,0,99704,71429,81797,8,19,196,38.1,0.7164,0.8732,1,0.5618
2,5,4,2,3329,2766,1733,9,15,345,18.2,0.8309,1.5961,2,0.7134
20,2,9,4,61915,43037,94689,12,6,330,31.3,0.6951,0.4545,1,0.5947
0,1,8,0,24464,5452,38332,5,16,394,23.0,0.2229,0.1422,0,0.3813
7,5,1,2,49371,9115,66293,7,24,152,16.4,0.1846,0.1375,0,0.4478
3,1,3,4,30768,25703,25498,8,25,269,8.1,0.8354,1.008,2,0.6705
15,2,2,0,56968,22222,34524,3,25,441,10.9,0.3901,0.6437,0,0.3221
13,1,2,1,4422,1656,2816,1,13,215,8.7,0.3745,0.5881,0,0.6351
11,0,10,1,78873,40731,60940,11,15,165,28.1,0.5164,0.6684,1,0.6304
18,2,4,1,9159,5588,9719,1,10,447,10.9,0.6101,0.575,1,0.6998
17,6,1,3,36601,30732,39952,19,23,394,38.2,0.8396,0.7692,2,0.4977
5,5,4,0,50759,10661,75167,3,5,498,10.1,0.21,0.1418,0,0.4138
12,4,2,1,68823,45197,165441,13,10,439,14.2,0.6567,0.2732,1,0.5257
10,1,11,1,35593,9305,34906,16,27,363,30.3,0.2614,0.2666,0,0.3301
1,5,9,2,27446,8036,49437,3,21,169,18.1,0.2928,0.1626,0,0.5243
21,1,5,0,88158,48440,165782,1,16,293,23.0,0.5495,0.2922,1,0.4712
1,6,9,1,36933,17599,41832,17,9,111,34.9,0.4765,0.4207,0,0.5444
11,0,2,3,98475,44000,61174,3,5,253,10.2,0.4468,0.7193,0,0.6919
1,4,5,0,80101,53814,76628,5,10,242,18.7,0.6718,0.7023,1,0.5198
13,1,2,0,4616,2840,5720,6,17,432,24.5,0.6153,0.4965,1,0.49
7,6,11,0,4623,3604,4533,7,21,126,18.7,0.7796,0.7951,2,0.5263
13,1,12,0,49976,3323,90336,5,3,399,13.6,0.0665,0.0368,0,0.3775
5,5,5,1,6898,5564,7873,6,28,406,22.6,0.8066,0.7067,2,0.6074
3,2,8,0,73180,65266,76212,6,19,198,25.2,0.8919,0.8564,2,0.5508
0,3,6,0,78577,50198,86181,16,2,91,10.5,0.6388,0.5825,1,0.5091
8,6,7,0,7414,3585,9657,3,17,471,35.2,0.4835,0.3712,0,0.3869
16,0,9,0,60341,53880,111626,14,3,224,23.6,0.8929,0.4827,2,0.6031
6,6,8,1,34560,13399,45975,12,22,320,35.9,0.3877,0.2914,0,0.4645
21,3,12,0,56729,45220,90011,9,5,72,16.1,0.7971,0.5024,2,0.6431
3,4,2,2,31491,15939,35360,5,20,169,22.8,0.5061,0.4508,1,0.6052
5,3,4,0,91297,31358,187270,12,22,339,12.6,0.3435,0.1674,0,0.3242
3,3,9,0,47898,1490,49833,8,10,492,18.0,0.0311,0.0299,0,0.2662
2,0,3,4,58469,29279,30193,14,27,261,17.5,0.5008,0.9697,1,0.4114
0,6,6,4,98899,64780,239535,11,2,452,18.2,0.655,0.2704,1,0.6145
14,5,1,1,54436,38193,106531,2,2,238,5.5,0.7016,0.3585,1,0.7982
8,1,1,1,49977,14337,27177,10,11,32,23.2,0.2869,0.5275,0,0.6365
15,3,4,1,64006,45176,127875,7,26,13,21.9,0.7058,0.3533,1,0.6531
12,4,6,0,54931,38405,112566,17,6,158,7.5,0.6991,0.3412,1,0.5025
16,6,6,1,34508,29239,42185,5,20,341,37.7,0.8473,0.6931,2,0.6709
10,6,9,2,67368,14704,134415,9,22,446,11.2,0.2183,0.1094,0,0.4311
9,5,5,0,91270,18557,169875,15,19,247,32.9,0.2033,0.1092,0,0.2615
2,1,12,0,11767,7543,12038,4,17,215,7.2,0.641,0.6266,1,0.5271
3,2,6,0,2713,1975,1631,1,5,370,20.5,0.728,1.2109,1,0.6232
