disaster_type,people_count,children_count,elderly_count,injured_count,critical_count,time_elapsed_min,weather_severity,location_accessibility,flood_risk_score,landslide_risk_score,available_teams,nearest_team_dist_km,priority_score,priority_class
7,107,14,49,24,8,12.3,1,0,0.1241,0.6821,12,8.59,0.5412,1
7,130,5,15,31,2,2.4,1,2,0.3799,0.3242,9,25.17,0.5223,1
1,158,43,30,103,15,54.1,1,2,0.4151,0.7522,9,5.63,0.7704,2
2,36,8,6,13,0,22.9,2,0,0.6327,0.6985,0,19.88,0.4271,1
4,96,25,0,57,7,19.6,1,1,0.1814,0.8544,18,9.29,0.5541,1
1,138,0,5,74,0,55.8,1,1,0.331,0.6608,7,15.2,0.5718,1
6,7,0,2,1,0,3.8,0,0,0.0386,0.9317,17,31.46,0.0871,0
2,146,26,55,28,2,73.4,1,2,0.0089,0.8702,17,9.86,0.7624,2
0,189,75,2,38,5,37.7,3,0,0.3948,0.9453,10,15.22,0.7244,2
4,122,27,9,16,2,4.1,1,1,0.3454,0.927,17,2.2,0.5479,1
0,11,2,1,1,0,56.7,0,0,0.0843,0.3907,12,0.29,0.3097,0
4,118,23,1,60,19,38.2,1,1,0.6582,0.2932,13,9.04,0.686,2
4,166,32,7,93,0,30.6,2,1,0.0081,0.3486,17,0.01,0.5712,1
4,197,33,36,20,6,37.3,0,1,0.2199,0.0829,1,5.24,0.5945,1
7,134,7,12,56,0,39.1,0,0,0.8938,0.6529,6,1.71,0.4532,1
3,125,27,21,59,5,80.8,1,1,0.9438,0.637,13,33.19,0.7156,2
1,21,0,3,10,3,42.8,0,0,0.8544,0.8924,13,19.32,0.33,0
1,142,31,4,74,8,13.7,2,1,0.5423,0.7126,4,19.08,0.6782,2
1,176,14,95,40,8,53.0,0,0,0.3431,0.5682,14,0.74,0.6933,2
4,126,7,13,60,0,39.1,0,0,0.9829,0.1626,5,2.4,0.4829,1
5,167,48,16,67,6,15.9,0,0,0.5908,0.8639,14,1.16,0.5317,1
4,5,0,0,1,0,4.2,3,2,0.1118,0.1047,2,4.81,0.25,0
7,36,0,3,4,0,22.9,2,3,0.9896,0.9559,11,5.11,0.4455,1
7,181,6,2,84,0,5.6,0,2,0.19,0.5382,11,1.69,0.4379,1
1,135,27,18,38,3,5.6,1,3,0.0627,0.1883,18,0.61,0.7635,2
0,116,32,53,50,6,63.0,2,1,0.9999,0.9499,17,0.27,0.7514,2
6,180,18,55,82,17,122.8,1,1,0.3175,0.9311,19,7.28,0.7866,2
3,37,8,6,25,8,2.9,3,1,0.3791,0.3166,9,4.37,0.4974,1
5,7,1,0,2,0,30.1,3,1,0.8137,0.0173,10,2.21,0.3152,0
2,49,4,4,15,0,0.6,3,1,0.49,0.8234,0,0.89,0.4837,1
1,133,5,78,67,13,4.5,0,0,0.793,0.8677,16,2.85,0.6861,2
1,60,1,0,10,1,9.8,0,1,0.6767,0.4397,14,15.29,0.3367,0
7,100,27,18,24,0,26.4,3,3,0.282,0.5254,14,5.3,0.6791,2
5,197,82,45,106,46,1.7,0,2,0.5461,0.3789,5,9.05,0.6987,2
2,3,0,0,0,0,46.8,0,1,0.671,0.261,1,1.06,0.298,0
5,186,7,12,16,0,91.2,0,3,0.732,0.1053,8,5.98,0.5684,1
4,196,20,26,41,11,19.4,1,2,0.3988,0.9324,18,47.99,0.7497,2
3,181,50,28,89,21,7.2,1,2,0.0011,0.31,0,0.37,0.7882,2
3,65,10,10,18,6,67.6,0,1,0.1046,0.5509,4,0.08,0.5412,1
4,179,4,89,14,3,44.8,0,3,0.4859,0.5683,18,9.64,0.6457,2
7,91,15,20,34,2,63.9,0,1,0.2821,0.7889,3,7.41,0.5697,1
0,157,22,43,52,9,14.5,2,0,0.4038,0.2888,19,7.79,0.6573,2
7,163,50,32,60,10,6.1,1,0,0.339,0.8641,6,9.38,0.6295,2
3,147,7,13,49,9,18.3,1,0,0.8666,0.0577,14,5.22,0.5733,1
6,85,21,6,31,15,20.0,0,2,0.5625,0.2498,18,12.51,0.5882,1
4,13,2,2,5,0,21.3,3,1,0.3717,0.1576,0,10.79,0.334,0
3,164,74,54,3,0,3.4,2,1,0.2828,0.9213,5,0.9,0.6151,2
7,194,21,6,38,21,12.9,0,0,0.7171,0.3831,18,4.39,0.5628,1
5,184,12,11,78,10,120.3,0,0,0.8332,0.8659,14,1.14,0.6252,2
3,90,58,42,31,5,23.8,2,3,0.686,0.1491,0,17.94,0.7406,2
7,163,19,62,81,11,36.4,2,0,0.7567,0.8493,6,2.41,0.6999,2
1,45,10,1,19,3,46.3,2,0,0.5675,0.9454,10,2.5,0.427,1
4,172,26,8,19,3,37.6,2,1,0.6103,0.3329,6,3.91,0.6771,2
6,28,21,1,20,0,2.4,0,3,0.2123,0.0041,19,0.95,0.365,1
5,9,0,2,5,0,10.4,2,2,0.1351,0.3078,6,6.91,0.2703,0
3,63,1,0,26,0,11.2,0,0,0.2901,0.4983,13,1.57,0.3934,1
0,15,0,2,7,1,51.5,2,2,0.3994,0.4444,0,20.22,0.3547,1
6,123,46,69,73,0,23.5,0,1,0.7708,0.5056,3,16.43,0.5178,1
2,168,22,7,22,2,23.5,1,1,0.1773,0.5221,17,25.13,0.6676,2
0,8,0,1,3,0,13.2,1,2,0.3438,0.1256,17,11.74,0.3011,0
7,176,23,18,98,34,5.8,0,1,0.5138,0.483,8,4.55,0.6843,2
2,6,0,1,1,0,14.9,0,1,0.4371,0.3039,12,31.7,0.2469,0
6,154,23,37,41,3,41.0,0,0,0.1349,0.2985,19,0.84,0.5505,1
4,162,28,55,48,20,33.1,1,0,0.0248,0.4133,4,66.57,0.7267,2
0,27,6,0,11,1,52.4,2,3,0.6714,0.7093,19,13.59,0.4849,1
7,114,59,5,30,10,33.3,3,1,0.2012,0.9835,4,2.95,0.6982,2
2,66,28,8,33,1,2.6,2,1,0.324,0.4158,2,4.77,0.5911,1
2,92,2,5,52,18,18.4,0,1,0.5175,0.22,10,44.14,0.6669,2
5,186,24,52,44,0,18.6,3,0,0.1536,0.8664,6,5.93,0.5708,1
4,18,6,2,13,1,34.2,0,2,0.0399,0.4581,18,6.38,0.2893,0
4,25,0,2,6,0,5.1,3,0,0.5872,0.3129,17,7.73,0.3364,0
3,69,1,7,27,1,1.2,3,3,0.208,0.6237,9,10.05,0.5457,1
6,87,0,31,6,1,12.0,0,0,0.5553,0.8739,18,2.2,0.4789,1
2,175,43,1,15,6,23.1,1,1,0.0087,0.7481,7,3.92,0.6423,2
3,76,17,17,16,4,3.2,2,1,0.2197,0.2506,13,17.43,0.6451,2
1,68,0,7,22,8,12.5,2,1,0.9045,0.7867,2,3.83,0.595,1
5,55,28,6,42,0,1.8,1,2,0.2458,0.6782,10,4.45,0.428,1
6,109,38,57,85,37,77.3,0,1,0.6731,0.891,17,12.05,0.7131,2
6,118,26,6,48,18,20.5,0,2,0.2848,0.0204,13,1.2,0.6949,2
1,186,48,89,68,4,169.9,0,3,0.3464,0.7094,6,7.97,0.7773,2
7,195,23,3,124,15,28.1,0,2,0.3846,0.4522,5,12.67,0.6576,2
4,185,2,70,111,6,80.6,2,2,0.0404,0.5632,7,2.71,0.7555,2
5,66,3,25,46,3,62.9,1,2,0.5681,0.792,17,0.77,0.5782,1
4,146,29,17,126,69,0.3,0,0,0.6029,0.7218,10,4.44,0.7104,2
5,89,21,19,20,5,14.2,1,0,0.5347,0.9875,10,7.66,0.5492,1
1,23,6,4,9,5,12.0,0,1,0.7263,0.4964,14,26.74,0.3176,0
4,13,7,1,3,0,86.5,2,1,0.2763,0.2614,14,3.35,0.3382,0
1,146,15,1,54,3,53.5,2,2,0.6912,0.9707,4,35.54,0.6506,2
2,192,25,46,144,2,27.4,0,2,0.3371,0.3294,15,14.8,0.7057,2
1,75,29,4,50,4,1.6,2,0,0.4704,0.9237,13,12.06,0.5722,1
4,143,44,15,57,4,14.8,1,1,0.6445,0.8622,7,5.57,0.6518,2
1,27,0,1,8,2,20.4,0,0,0.9793,0.0835,12,12.77,0.2908,0
7,43,18,0,31,2,55.2,0,0,0.0034,0.5621,4,22.53,0.3845,1
6,159,17,82,24,6,23.8,2,3,0.6207,0.7265,19,12.72,0.6672,2
4,180,57,17,94,6,27.6,1,1,0.8556,0.7461,10,7.46,0.6442,2
5,60,27,21,27,1,76.9,0,2,0.9909,0.3499,3,7.63,0.5414,1
6,64,39,5,17,2,40.6,3,3,0.8525,0.4467,3,6.7,0.6615,2
4,170,30,2,59,15,18.0,0,1,0.099,0.8409,11,13.03,0.6254,2
3,98,11,20,32,12,46.5,0,0,0.6443,0.4309,3,3.21,0.6492,2
5,2,0,0,0,0,35.2,1,1,0.2942,0.4088,7,0.35,0.268,0
5,86,17,1,31,2,9.3,3,0,0.7781,0.7185,8,15.26,0.4963,1
5,76,12,5,27,10,57.4,2,0,0.6918,0.1539,8,6.19,0.523,1
5,191,60,17,43,5,6.3,0,1,0.888,0.715,16,17.5,0.5574,1
3,188,21,4,47,13,82.8,0,2,0.1276,0.6005,11,9.56,0.6939,2
3,184,16,25,49,29,158.6,0,3,0.3948,0.5688,3,28.48,0.9271,3
5,61,22,12,15,4,11.5,2,2,0.7564,0.8357,5,0.16,0.6002,2
7,46,5,0,25,4,12.9,1,0,0.9878,0.8113,16,4.59,0.3126,0
2,195,60,74,104,3,28.4,2,2,0.8043,0.5835,8,9.84,0.7666,2
7,162,16,2,81,4,30.4,2,2,0.0661,0.417,13,14.15,0.5461,1
3,87,2,11,40,20,32.9,2,1,0.1064,0.7786,12,26.42,0.7026,2
5,147,9,55,52,2,6.3,0,1,0.1775,0.1939,19,11.38,0.5163,1
0,24,0,2,12,3,5.8,2,3,0.939,0.5313,8,18.1,0.4056,1
1,169,12,12,48,5,5.2,1,0,0.995,0.1829,2,32.76,0.6286,2
2,127,40,3,6,2,19.6,3,1,0.5688,0.9117,6,28.62,0.6672,2
4,90,5,10,18,1,27.6,2,0,0.1193,0.5969,8,11.48,0.5242,1
1,140,77,22,95,16,12.7,2,3,0.3706,0.1197,18,6.58,0.9002,3
5,91,17,1,38,5,49.2,1,0,0.4608,0.2054,10,2.11,0.4851,1
3,91,8,5,10,1,10.7,3,1,0.1813,0.7779,3,0.09,0.5182,1
4,110,15,7,31,4,11.9,0,2,0.7145,0.8768,2,22.45,0.6409,2
5,131,0,9,65,48,46.8,3,0,0.5046,0.6473,13,4.45,0.6908,2
6,45,4,2,29,8,13.1,2,3,0.8015,0.1008,19,14.83,0.4665,1
2,145,79,2,97,17,26.1,0,1,0.1202,0.5987,15,1.95,0.7696,2
7,186,6,7,25,3,3.8,3,1,0.2931,0.8249,6,23.94,0.4971,1
3,10,0,0,2,0,34.4,0,3,0.3491,0.0827,16,8.9,0.3122,0
4,158,10,11,56,5,5.1,1,1,0.5061,0.1192,3,4.34,0.5402,1
4,72,24,28,11,0,9.3,0,3,0.3734,0.6268,4,1.68,0.5348,1
3,142,30,52,75,39,32.1,2,0,0.5549,0.8331,5,7.75,0.787,2
5,185,53,56,89,21,0.2,2,0,0.007,0.4775,3,4.99,0.7496,2
7,139,16,5,75,0,12.4,1,0,0.6487,0.9717,12,7.83,0.4149,1
6,75,3,0,23,2,43.7,1,3,0.5168,0.2524,15,7.5,0.4015,1
2,112,34,41,63,0,31.3,2,0,0.8847,0.2485,3,19.36,0.6697,2
7,32,3,7,9,0,0.4,1,1,0.0242,0.0312,19,13.61,0.3095,0
5,173,14,45,93,2,35.2,0,0,0.9278,0.4228,12,9.06,0.5927,1
5,22,2,2,5,1,38.8,0,1,0.139,0.0633,13,44.66,0.2607,0
4,98,4,11,57,10,46.3,1,0,0.2512,0.4301,11,17.07,0.5719,1
6,112,18,5,44,0,9.8,1,1,0.2782,0.7856,9,7.51,0.4288,1
1,148,71,5,26,3,73.7,0,1,0.5525,0.3877,7,7.66,0.7099,2
2,81,20,18,26,2,39.3,2,2,0.824,0.247,13,30.45,0.7054,2
7,182,52,6,61,6,49.9,1,0,0.2653,0.5846,13,20.03,0.6104,2
4,28,4,0,12,3,53.7,1,2,0.0228,0.2628,10,5.99,0.3692,1
7,43,2,3,11,0,15.3,0,0,0.6799,0.1264,11,10.52,0.2393,0
0,1,0,0,0,0,14.1,2,1,0.9933,0.6054,4,3.1,0.3234,0
0,71,20,2,9,1,39.6,0,2,0.4932,0.8233,7,7.78,0.5604,1
0,142,57,0,60,0,2.2,0,2,0.563,0.927,1,0.17,0.6018,2
5,99,68,31,25,5,7.0,2,2,0.2964,0.6451,13,8.59,0.5977,1
0,100,10,16,25,6,37.3,1,1,0.9159,0.2583,16,17.21,0.6585,2
1,193,95,73,45,12,3.3,1,3,0.3989,0.2273,10,4.74,0.777,2
1,138,4,11,69,3,8.6,0,3,0.191,0.0191,13,2.45,0.5839,1
4,186,1,42,80,10,3.0,2,1,0.9062,0.6667,16,19.95,0.6545,2
2,17,2,1,5,0,29.2,0,1,0.8961,0.7218,11,1.4,0.2595,0
2,116,1,4,52,10,25.2,3,0,0.749,0.9268,11,42.17,0.6715,2
1,79,4,12,40,14,8.1,1,3,0.781,0.1115,8,19.9,0.704,2
3,171,54,10,49,14,11.5,1,1,0.0661,0.0863,8,2.02,0.6908,2
6,6,1,1,1,0,16.0,0,0,0.8355,0.0884,10,6.59,0.1856,0
4,34,4,5,17,9,47.8,1,0,0.4253,0.0176,1,4.72,0.4213,1
2,25,9,3,10,1,4.7,3,1,0.8645,0.2859,0,7.23,0.4049,1
1,35,5,2,14,3,5.9,2,0,0.3981,0.3334,0,24.53,0.3537,1
3,41,7,6,17,6,27.0,2,1,0.9167,0.917,9,28.79,0.5086,1
1,86,9,16,47,8,63.0,2,1,0.8001,0.1703,0,1.82,0.6582,2
5,119,18,9,52,13,10.9,1,2,0.1064,0.6793,11,1.55,0.6818,2
0,140,41,41,48,10,1.7,2,1,0.5059,0.8531,14,0.94,0.7337,2
4,140,0,15,88,5,5.2,0,0,0.5197,0.5578,8,5.63,0.4347,1
1,115,48,17,84,5,58.6,1,1,0.0268,0.2611,0,2.59,0.7367,2
4,65,3,19,22,11,15.2,0,1,0.8978,0.4863,7,7.92,0.5377,1
5,96,17,16,53,22,15.1,2,1,0.7963,0.6071,6,21.88,0.724,2
4,80,3,0,38,12,6.2,0,2,0.3605,0.5459,17,3.78,0.5252,1
4,52,7,12,4,0,62.7,0,2,0.6059,0.3519,5,0.55,0.4002,1
7,26,6,1,3,0,5.2,2,1,0.977,0.6281,15,11.58,0.3052,0
3,135,6,0,90,8,35.1,0,1,0.4543,0.6881,0,2.56,0.578,1
0,80,2,45,29,12,77.3,2,1,0.7834,0.585,9,12.13,0.7845,2
5,18,4,3,14,0,4.6,1,1,0.6714,0.5271,10,34.24,0.2959,0
2,162,86,19,39,9,29.9,2,0,0.7955,0.386,7,0.02,0.7272,2
5,97,15,33,57,5,36.7,0,2,0.2398,0.5568,6,26.08,0.6328,2
3,84,12,40,11,3,28.5,1,0,0.3032,0.1933,18,0.78,0.5836,1
4,66,12,15,17,6,33.3,1,0,0.084,0.1276,1,0.81,0.5111,1
7,69,17,5,34,5,54.8,0,2,0.295,0.7091,14,0.35,0.5359,1
3,47,8,9,21,0,44.5,0,1,0.7532,0.9463,9,4.62,0.4339,1
6,47,8,15,40,4,0.9,0,2,0.1952,0.2183,13,6.14,0.3963,1
5,110,5,0,15,2,28.3,1,2,0.1633,0.9497,3,5.8,0.4657,1
3,61,14,5,32,5,130.5,0,2,0.4215,0.1253,17,4.47,0.6047,2
7,122,14,18,19,1,15.9,3,3,0.9599,0.7374,0,3.34,0.6161,2
3,122,1,3,33,5,24.8,0,0,0.4982,0.0614,5,0.5,0.4844,1
7,7,0,1,2,0,45.4,1,2,0.4664,0.4398,9,15.04,0.3256,0
1,46,6,1,24,0,22.5,0,0,0.6837,0.2236,5,8.85,0.3831,1
4,173,139,44,101,21,66.0,1,3,0.4296,0.2971,6,3.08,0.8179,3
4,43,7,3,12,1,57.8,1,2,0.2624,0.6537,7,2.69,0.4266,1
1,28,7,0,9,1,112.0,1,0,0.1025,0.7416,18,5.54,0.4334,1
0,34,2,9,6,0,20.6,2,2,0.4127,0.083,14,14.4,0.4498,1
4,17,2,0,4,2,14.0,3,1,0.1479,0.0423,2,4.3,0.3528,1
2,68,1,22,8,0,49.0,2,3,0.3972,0.5855,5,3.76,0.6587,2
4,194,46,8,74,39,85.0,3,3,0.6826,0.5785,0,4.64,0.8839,3
5,106,24,4,70,36,48.0,0,3,0.8427,0.7313,6,11.71,0.719,2
1,154,3,6,12,0,29.9,0,2,0.0236,0.9516,11,12.52,0.5196,1
2,157,30,62,63,13,13.3,3,3,0.9829,0.4974,8,30.8,0.838,3
4,54,18,7,23,4,13.1,1,1,0.7629,0.4644,11,9.45,0.4775,1
4,10,1,3,1,0,5.9,0,0,0.453,0.6432,18,1.91,0.1864,0
3,172,59,54,46,22,22.4,0,3,0.1318,0.3314,17,3.19,0.8599,3
2,181,61,3,88,16,0.3,0,2,0.1396,0.0161,13,35.49,0.7428,2
5,104,15,8,49,12,9.4,0,2,0.9566,0.5486,12,4.7,0.5463,1
6,178,28,50,91,8,8.6,0,2,0.3855,0.961,6,27.76,0.6475,2
6,47,16,3,22,5,6.7,2,0,0.8437,0.4443,13,19.93,0.3617,1
6,158,36,43,38,0,0.7,1,2,0.7155,0.8706,6,33.88,0.5939,1
6,170,35,9,40,13,7.7,1,2,0.5524,0.2882,11,0.58,0.6392,2
1,7,4,2,5,0,92.2,0,2,0.3184,0.6219,13,16.06,0.3899,1
7,65,3,4,33,15,30.9,0,1,0.6556,0.7889,9,4.26,0.4427,1
0,61,7,10,6,1,50.2,0,0,0.1458,0.0759,10,7.79,0.4743,1
0,182,49,25,73,1,1.2,2,1,0.9742,0.4008,12,11.69,0.6426,2
4,199,2,2,56,5,3.0,0,3,0.0766,0.6118,14,0.59,0.5522,1
3,64,1,3,34,2,77.1,2,2,0.8665,0.3523,4,5.03,0.5005,1
5,127,7,2,14,1,3.9,1,0,0.6231,0.0817,6,0.5,0.4455,1
6,7,0,0,3,0,81.3,1,3,0.2973,0.848,8,3.92,0.3,0
3,146,10,29,67,11,20.7,0,2,0.9131,0.3525,16,32.12,0.6892,2
6,50,0,7,9,0,32.0,2,2,0.0287,0.7477,6,16.25,0.4274,1
6,155,34,6,47,9,23.9,2,1,0.9362,0.4247,15,6.37,0.5869,1
6,73,4,10,24,2,17.4,2,0,0.741,0.0151,12,45.61,0.4198,1
4,65,3,14,27,4,1.9,2,3,0.5763,0.3566,13,15.86,0.5306,1
5,170,20,30,40,4,51.0,2,1,0.7221,0.5331,4,5.08,0.6954,2
3,180,15,53,38,5,28.5,1,2,0.7164,0.4217,8,6.26,0.7192,2
5,33,0,3,24,3,21.1,0,3,0.2831,0.8828,0,13.83,0.3934,1
0,14,0,1,6,0,26.7,0,0,0.3392,0.8231,19,16.05,0.2799,0
5,42,3,10,12,1,100.6,0,2,0.7088,0.1685,7,24.46,0.4024,1
5,112,5,9,49,4,257.8,0,1,0.7892,0.2967,4,0.65,0.611,2
5,160,12,7,99,42,41.8,0,3,0.822,0.7066,8,13.16,0.664,2
2,181,15,58,96,4,13.2,0,1,0.1586,0.4214,14,2.06,0.6572,2
0,53,0,12,34,3,67.8,1,0,0.1757,0.5379,1,4.32,0.4356,1
5,123,21,24,43,13,18.2,1,2,0.8778,0.4922,16,26.3,0.7385,2
3,172,25,12,63,1,19.0,2,0,0.8385,0.3332,4,18.43,0.6127,2
1,49,6,10,29,18,13.0,1,1,0.1047,0.8518,18,3.44,0.5713,1
6,116,7,55,31,16,11.2,2,1,0.2533,0.3224,0,11.16,0.6871,2
2,194,84,32,90,14,45.2,2,2,0.4812,0.4026,11,1.71,0.79,2
4,133,33,1,17,3,18.4,1,1,0.8524,0.5881,2,3.16,0.5858,1
4,171,8,25,118,5,21.0,2,0,0.7282,0.2619,9,6.14,0.6387,2
4,169,30,18,84,13,46.7,0,1,0.8665,0.1304,1,9.38,0.6759,2
2,14,0,0,3,0,72.4,3,2,0.7334,0.0473,1,9.49,0.485,1
3,184,14,9,41,0,25.0,3,0,0.9563,0.3655,4,43.51,0.5777,1
3,129,22,7,73,15,62.4,3,1,0.3845,0.783,5,6.44,0.7593,2
0,76,6,5,16,1,1.2,0,0,0.7381,0.5181,18,9.57,0.3942,1
4,70,31,6,17,0,19.9,0,1,0.2309,0.0106,12,22.45,0.4472,1
0,37,0,13,17,2,1.2,0,0,0.4063,0.0977,12,10.87,0.3038,0
4,87,26,11,76,8,10.7,0,3,0.2893,0.7886,9,10.38,0.5716,1
3,122,10,9,43,3,15.9,1,0,0.4729,0.7501,17,4.36,0.4935,1
5,181,43,13,94,5,76.1,2,3,0.618,0.1906,13,21.93,0.7011,2
3,190,37,12,52,19,28.9,0,1,0.3215,0.9939,8,28.82,0.7459,2
7,122,8,7,43,1,7.1,0,2,0.3127,0.8314,11,2.91,0.442,1
1,66,1,15,26,2,1.8,0,0,0.4595,0.96,16,3.54,0.4955,1
3,110,2,7,16,0,41.7,2,1,0.7039,0.0944,15,8.24,0.5221,1
0,87,40,30,21,1,31.1,1,0,0.5571,0.0787,3,0.4,0.5981,1
0,38,9,4,2,0,9.9,0,0,0.7472,0.0268,10,6.85,0.3733,1
6,66,11,10,49,0,1.4,1,2,0.2377,0.4763,6,3.84,0.4515,1
2,134,30,19,67,4,83.3,1,0,0.4704,0.5007,10,0.91,0.7517,2
0,122,18,39,45,17,7.5,0,0,0.3302,0.4893,19,9.71,0.747,2
2,137,6,17,61,1,21.7,2,3,0.6348,0.0986,7,5.09,0.646,2
5,77,21,3,57,15,66.3,0,1,0.9885,0.574,19,10.54,0.5875,1
7,174,57,1,145,8,32.6,0,2,0.5836,0.1592,7,0.97,0.6739,2
4,165,20,28,87,15,3.5,3,2,0.6762,0.8224,4,9.29,0.8045,3
5,189,33,19,149,51,32.6,3,2,0.1366,0.9799,18,2.37,0.8406,3
5,110,36,10,20,5,21.8,2,0,0.1967,0.7186,16,4.74,0.5893,1
3,164,14,13,75,25,61.4,1,0,0.6043,0.5331,10,9.24,0.7246,2
0,146,35,46,67,20,1.7,2,2,0.8884,0.9941,2,18.27,0.8519,3
2,194,1,64,40,15,12.1,3,0,0.1676,0.5713,8,2.79,0.7498,2
5,73,13,8,30,0,27.3,1,2,0.7519,0.215,8,10.43,0.4533,1
2,45,0,1,10,0,19.0,1,0,0.2798,0.7436,2,3.92,0.4278,1
4,52,20,16,29,8,17.7,2,1,0.7202,0.7314,4,11.52,0.5292,1
4,162,51,22,26,0,7.8,0,0,0.4105,0.5378,13,16.58,0.5106,1
6,27,3,12,7,2,51.8,0,1,0.4187,0.254,14,13.23,0.3405,0
7,131,6,18,74,0,31.2,2,0,0.0886,0.916,18,11.61,0.5243,1
5,157,69,38,84,36,16.1,3,2,0.9015,0.7415,3,4.21,0.8248,3
1,40,0,9,16,0,3.8,0,3,0.276,0.2341,3,7.72,0.4624,1
1,46,5,1,16,3,10.1,2,0,0.1774,0.8686,18,2.51,0.386,1
5,114,11,7,17,1,36.1,3,0,0.8343,0.2766,0,24.92,0.5325,1
3,94,35,25,44,8,24.4,0,1,0.5252,0.842,3,4.17,0.6816,2
6,75,4,15,11,0,6.9,1,1,0.4411,0.8355,14,0.64,0.4149,1
4,13,0,3,6,0,5.1,0,2,0.6137,0.4309,14,29.18,0.2679,0
6,130,9,2,81,14,19.5,1,1,0.0765,0.7813,16,3.07,0.5138,1
6,3,0,1,0,0,8.4,2,0,0.4845,0.8386,17,19.9,0.175,0
0,56,0,8,23,6,28.4,3,3,0.7877,0.054,5,1.32,0.634,2
7,154,3,13,82,3,20.1,2,3,0.7898,0.0054,15,10.32,0.5334,1
2,115,26,29,64,27,153.4,3,1,0.6443,0.0059,18,3.73,0.9449,3
3,43,10,19,12,4,61.2,0,2,0.8443,0.3522,7,21.97,0.504,1
5,96,20,21,30,11,2.2,2,1,0.0419,0.4603,7,3.44,0.6759,2
4,173,44,1,54,7,43.8,1,1,0.3612,0.1631,18,4.7,0.6209,2
5,88,21,39,41,12,5.2,2,0,0.0982,0.0287,18,2.79,0.6314,2
6,52,9,4,27,1,8.9,0,2,0.6562,0.9829,9,3.49,0.2908,0
4,66,7,25,8,1,28.0,0,1,0.8551,0.1551,4,0.37,0.5049,1
3,39,2,22,27,1,12.3,3,3,0.1248,0.5375,17,4.58,0.5723,1
3,198,14,82,113,26,73.9,1,0,0.3094,0.9338,10,0.88,0.8129,3
2,168,31,40,84,8,69.4,1,1,0.7812,0.9572,14,12.4,0.7665,2
6,175,5,8,70,11,12.4,2,0,0.1641,0.6605,15,13.24,0.5587,1
2,103,2,15,20,0,4.3,2,3,0.3315,0.5737,19,1.43,0.6227,2
0,151,83,28,83,2,2.9,1,2,0.4501,0.737,19,19.03,0.6624,2
3,6,0,0,2,0,7.2,0,3,0.4996,0.5324,2,2.84,0.2956,0
5,14,5,0,2,0,31.7,0,2,0.5244,0.4365,19,3.69,0.274,0
1,198,23,17,103,26,9.1,0,1,0.1844,0.4581,14,5.13,0.7682,2
0,97,48,13,42,21,52.6,0,0,0.2741,0.1512,15,6.8,0.7473,2
6,195,13,39,48,4,2.4,3,0,0.1803,0.4299,14,29.37,0.6045,2
7,15,0,6,5,1,9.9,2,1,0.5548,0.2062,16,2.85,0.2638,0
4,149,53,35,50,27,22.4,0,3,0.0026,0.2083,16,11.14,0.7418,2
7,77,8,5,33,1,13.5,1,3,0.6645,0.4831,13,10.67,0.4585,1
0,77,9,0,35,21,18.8,0,2,0.3383,0.5786,19,11.03,0.6355,2
7,197,33,2,27,5,51.7,0,0,0.3962,0.4734,1,26.33,0.5284,1
5,198,37,16,103,1,12.6,0,3,0.3547,0.9421,15,18.24,0.5984,1
7,32,1,2,16,1,28.9,3,0,0.0483,0.668,0,32.96,0.302,0
3,174,47,59,108,12,59.7,1,1,0.371,0.0873,10,16.73,0.7546,2
7,41,8,10,2,1,23.2,2,3,0.0249,0.2193,11,6.95,0.4339,1
1,67,10,23,52,21,48.2,1,0,0.2651,0.0694,1,1.41,0.7075,2
0,142,26,1,60,23,8.9,0,2,0.0614,0.0088,8,4.56,0.7137,2
6,82,3,4,38,22,28.7,0,2,0.0866,0.6287,12,22.14,0.5489,1
2,87,33,16,31,8,2.1,1,1,0.8044,0.3421,18,43.09,0.6669,2
5,81,22,8,18,5,48.3,2,1,0.1508,0.9668,7,7.4,0.5861,1
1,178,44,45,19,3,3.0,0,2,0.9454,0.9585,19,7.04,0.6589,2
1,108,1,42,30,6,27.7,0,0,0.7353,0.4471,14,5.13,0.6591,2
1,179,15,4,94,21,64.2,2,3,0.5711,0.8998,3,25.41,0.8054,3
6,184,6,3,26,9,78.6,0,0,0.9417,0.6804,7,3.82,0.4964,1
0,15,10,1,2,0,11.4,3,0,0.9059,0.68,11,12.99,0.3559,1
7,48,4,11,10,3,13.9,0,2,0.0976,0.6308,19,4.13,0.3759,1
2,77,5,12,25,0,26.8,1,0,0.8451,0.7875,15,15.66,0.474,1
2,77,18,5,9,1,11.9,1,1,0.7752,0.0133,12,15.0,0.5207,1
7,81,20,8,10,0,36.7,3,1,0.4272,0.886,17,4.88,0.5594,1
7,22,2,7,14,1,27.4,0,0,0.7973,0.0187,16,38.75,0.2897,0
1,126,1,11,63,15,0.9,1,2,0.6934,0.0903,9,7.56,0.6419,2
3,198,31,32,101,44,4.4,0,2,0.8171,0.4795,1,7.24,0.8023,3
0,138,10,1,35,8,101.8,2,0,0.9409,0.94,2,35.75,0.6295,2
1,33,12,12,23,9,25.5,0,0,0.8205,0.9753,1,16.75,0.4643,1
5,114,22,50,32,4,7.1,0,3,0.1152,0.1866,15,8.99,0.6453,2
7,109,0,7,15,0,9.0,3,3,0.3621,0.7432,9,4.65,0.5346,1
